blocks,UTXOs,addresses,tx
1000, 129, 7, 1.011
2000, 26, 7, 1.179
3000, 22, 7, 1.22
4000, 961, 9, 1.328
5000, 940, 10, 1.404
6000, 940, 11, 1.353
7000, 936, 11, 1.379
8000, 929, 11, 1.363
9000, 1007, 12, 1.366
10000, 972, 12, 1.384
11000, 956, 12, 1.35
12000, 942, 12, 1.376
13000, 929, 12, 1.359
14000, 930, 11, 1.381
15000, 940, 11, 1.38
16000, 931, 11, 1.376
17000, 561, 20, 1.351
18000, 1864, 23, 1.422
19000, 4936, 28, 1.365
20000, 5795, 31, 1.408
21000, 7325, 39, 1.404
22000, 8136, 44, 1.385
23000, 9055, 47, 1.423
24000, 9530, 59, 1.411
25000, 7507, 87, 1.497
26000, 7907, 109, 1.561
27000, 7825, 128, 1.526
28000, 8012, 126, 1.574
29000, 8282, 139, 1.496
30000, 8748, 136, 1.53
31000, 8897, 146, 1.591
32000, 9137, 154, 1.598
33000, 9378, 162, 1.759
34000, 10120, 177, 1.881
35000, 10957, 181, 1.494
36000, 11130, 178, 1.609
37000, 11672, 194, 1.627
38000, 11946, 194, 1.451
39000, 11528, 204, 1.53
40000, 10605, 248, 1.594
41000, 9701, 282, 1.567
42000, 10154, 318, 1.542
43000, 10361, 312, 1.486
44000, 10937, 330, 1.591
45000, 11396, 334, 1.628
46000, 13585, 390, 1.606
47000, 17323, 443, 1.689
48000, 18553, 483, 1.578
49000, 19951, 547, 1.665
50000, 20570, 574, 1.63
51000, 21523, 602, 1.561
52000, 23760, 608, 1.524
53000, 24755, 596, 1.541
54000, 24889, 596, 1.507
55000, 23448, 641, 1.69
56000, 27670, 697, 1.723
57000, 29428, 739, 1.753
58000, 30356, 750, 1.58
59000, 33060, 785, 1.645
60000, 32702, 810, 1.559
61000, 36937, 833, 1.604
62000, 39265, 821, 1.536
63000, 40121, 828, 1.514
64000, 40136, 829, 1.534
65000, 39591, 840, 1.508
66000, 39693, 861, 1.516
67000, 41371, 853, 1.535
68000, 42300, 851, 1.541
69000, 43373, 858, 1.519
70000, 46016, 876, 1.601
71000, 47452, 908, 1.549
72000, 48610, 903, 1.536
73000, 49398, 917, 1.549
74000, 49808, 911, 1.545
75000, 51229, 922, 1.522
76000, 52680, 922, 1.551
77000, 52261, 932, 1.55
78000, 52537, 939, 1.663
79000, 53598, 957, 1.624
80000, 54165, 981, 1.584
81000, 56090, 994, 1.657
82000, 56512, 1015, 1.647
83000, 57279, 1025, 1.591
84000, 57662, 1033, 1.584
85000, 57820, 1028, 1.599
86000, 58204, 1003, 1.566
87000, 58560, 1009, 1.594
88000, 56112, 1025, 1.52
89000, 56578, 1015, 1.576
90000, 57084, 1025, 1.549
91000, 56754, 1038, 1.556
92000, 57503, 1026, 1.671
93000, 52765, 1019, 1.862
94000, 52132, 1036, 1.791
95000, 53591, 1056, 1.681
96000, 54301, 1063, 1.639
97000, 55230, 1082, 1.613
98000, 56650, 1100, 1.64
99000, 57000, 1085, 1.548
100000, 57114, 1086, 1.545
101000, 56049, 1112, 1.641
102000, 56212, 1122, 1.549
103000, 56747, 1125, 1.553
104000, 57457, 1112, 1.582
105000, 57731, 1115, 1.687
106000, 58498, 1114, 1.626
107000, 59101, 1145, 1.803
108000, 59947, 1153, 1.81
109000, 60536, 1167, 1.75
110000, 61847, 1157, 1.567
111000, 62431, 1174, 1.619
112000, 61877, 1164, 1.593
113000, 63925, 1188, 1.665
114000, 64424, 1183, 1.736
115000, 64908, 1189, 1.744
116000, 64434, 1186, 1.878
117000, 64931, 1200, 1.751
118000, 66132, 1208, 1.755
119000, 66887, 1214, 1.716
120000, 68263, 1237, 1.689
121000, 68861, 1241, 1.678
122000, 70451, 1252, 1.755
123000, 70669, 1254, 1.771
124000, 70865, 1248, 1.735
125000, 72820, 1266, 1.798
126000, 71984, 1268, 1.81
127000, 74972, 1290, 1.736
128000, 75706, 1301, 1.649
129000, 75885, 1309, 1.626
130000, 75848, 1314, 1.665
131000, 79380, 1313, 1.749
132000, 78149, 1311, 1.767
133000, 79868, 1337, 1.728
134000, 81444, 1333, 1.756
135000, 82017, 1344, 1.809
136000, 84035, 1360, 1.7
137000, 84965, 1370, 1.826
138000, 83950, 1377, 1.699
139000, 83186, 1373, 1.758
140000, 83669, 1386, 1.751
141000, 83904, 1401, 1.677
142000, 84115, 1426, 1.755
143000, 85084, 1414, 1.719
144000, 84103, 1419, 1.706
145000, 84136, 1430, 1.7
146000, 85004, 1444, 1.749
147000, 85545, 1469, 1.574
148000, 85908, 1460, 1.724
149000, 86474, 1466, 1.692
150000, 86987, 1483, 1.691
151000, 87649, 1487, 1.76
152000, 88518, 1511, 1.775
153000, 88876, 1538, 1.699
154000, 89644, 1579, 1.75
155000, 90429, 1607, 1.666
156000, 91295, 1617, 1.704
157000, 91761, 1636, 1.665
158000, 92262, 1633, 1.659
159000, 92377, 1655, 1.661
160000, 93916, 1657, 1.691
161000, 94569, 1680, 1.576
162000, 95230, 1680, 1.623
163000, 95632, 1781, 1.793
164000, 96748, 1775, 1.62
165000, 96696, 1786, 1.673
166000, 97521, 1795, 1.638
167000, 98046, 1777, 1.679
168000, 99344, 1796, 1.652
169000, 101398, 1808, 1.633
170000, 101988, 1789, 1.678
171000, 102477, 1802, 1.608
172000, 103307, 1818, 1.631
173000, 104171, 1841, 1.633
174000, 104792, 1845, 1.605
175000, 103785, 1853, 1.678
176000, 104103, 1854, 1.62
177000, 103188, 1870, 1.599
178000, 103464, 1878, 1.625
179000, 103847, 1891, 1.645
180000, 104196, 1885, 1.571
181000, 104451, 1886, 1.625
182000, 103743, 1904, 1.777
183000, 104563, 1901, 1.657
184000, 105959, 1888, 1.7
185000, 105313, 1904, 1.812
186000, 105506, 1915, 1.775
187000, 104937, 1917, 1.833
188000, 105244, 1997, 1.944
189000, 106404, 2019, 1.785
190000, 107299, 2047, 1.64
191000, 107987, 2054, 1.653
192000, 109401, 2077, 1.693
193000, 109942, 2085, 1.69
194000, 111892, 2095, 1.705
195000, 112965, 2128, 1.722
196000, 110887, 2133, 1.757
197000, 110434, 2141, 1.723
198000, 110820, 2144, 1.769
199000, 112515, 2163, 1.676
200000, 112912, 2170, 1.612
201000, 113294, 2183, 1.658
202000, 113787, 2174, 1.536
203000, 114059, 2186, 1.606
204000, 115290, 2185, 1.624
205000, 116068, 2216, 1.586
206000, 116110, 2203, 1.618
207000, 116889, 2198, 1.618
208000, 117381, 2214, 1.649
209000, 118277, 2213, 1.64
210000, 119799, 2243, 1.699
211000, 120615, 2237, 1.666
212000, 121069, 2247, 1.609
213000, 121129, 2281, 1.698
214000, 120788, 2291, 1.684
215000, 121441, 2295, 1.722
216000, 121169, 2302, 1.714
217000, 121869, 2299, 1.659
218000, 122702, 2305, 1.676
219000, 122687, 2337, 1.726
220000, 121856, 2349, 1.711
221000, 122362, 2361, 1.648
222000, 122674, 2359, 1.618
223000, 122990, 2393, 1.632
224000, 123774, 2382, 1.697
225000, 125040, 2409, 1.679
226000, 125320, 2398, 1.714
227000, 125678, 2413, 1.672
228000, 124277, 2418, 1.778
229000, 125220, 2446, 1.763
230000, 125720, 2453, 1.644
231000, 127130, 2464, 1.678
232000, 127686, 2464, 1.662
233000, 129266, 2460, 1.618
234000, 129743, 2462, 1.65
235000, 130679, 2468, 1.641
236000, 131154, 2474, 1.608
237000, 131665, 2505, 1.671
238000, 132215, 2521, 1.642
239000, 133041, 2534, 1.67
240000, 135219, 2543, 1.64
241000, 134125, 2563, 1.647
242000, 134813, 2553, 1.628
243000, 135300, 2571, 1.626
244000, 135506, 2579, 1.607
245000, 136064, 2592, 1.628
246000, 136510, 2596, 1.594
247000, 136780, 2610, 1.661
248000, 137009, 2607, 1.621
249000, 137392, 2633, 1.645
250000, 137568, 2641, 1.548
251000, 138175, 2652, 1.63
252000, 138561, 2660, 1.693
253000, 138990, 2661, 1.645
254000, 138857, 2670, 1.637
255000, 139870, 2693, 1.647
256000, 140334, 2707, 1.735
257000, 140946, 2719, 1.689
258000, 141938, 2728, 1.654
259000, 141720, 2715, 1.652
260000, 140522, 2736, 1.644
261000, 140573, 2728, 1.701
262000, 140784, 2756, 1.612
263000, 141250, 2767, 1.667
264000, 140452, 2782, 1.732
265000, 140893, 2809, 1.746
266000, 140596, 2807, 1.669
267000, 140975, 2810, 1.657
268000, 141491, 2806, 1.625
269000, 141705, 2806, 1.586
270000, 142128, 2822, 1.676
271000, 142945, 2826, 1.702
272000, 143347, 2835, 1.579
273000, 144077, 2851, 1.615
274000, 144552, 2852, 1.669
275000, 145605, 2857, 1.658
276000, 145890, 2879, 1.608
277000, 147335, 2875, 1.654
278000, 146987, 2896, 1.693
279000, 147390, 2903, 1.693
280000, 147724, 2904, 1.671
281000, 148003, 2908, 1.71
282000, 148662, 2915, 1.657
283000, 149281, 2919, 1.682
284000, 149865, 2914, 1.696
285000, 149692, 2934, 1.714
286000, 150714, 2960, 1.756
287000, 151011, 2931, 1.786
288000, 151448, 2929, 1.797
289000, 151247, 2926, 1.673
290000, 151639, 2949, 1.748
291000, 151979, 2949, 1.719
292000, 152613, 2971, 1.732
293000, 151516, 2998, 1.811
294000, 152246, 3020, 1.803
295000, 152110, 3024, 1.744
296000, 152561, 3056, 1.733
297000, 152959, 3051, 1.708
298000, 153362, 3071, 1.783
299000, 153542, 3090, 1.762
300000, 153582, 3086, 1.834
301000, 153087, 3103, 1.8
302000, 153510, 3104, 1.697
303000, 152715, 3122, 1.726
304000, 153527, 3100, 1.74
305000, 153893, 3104, 1.726
306000, 154281, 3134, 1.75
307000, 152688, 3160, 1.723
308000, 153233, 3161, 1.777
309000, 153553, 3162, 1.769
310000, 153981, 3183, 1.795
311000, 153822, 3213, 1.812
312000, 152717, 3243, 1.945
313000, 153061, 3265, 1.984
314000, 152794, 3269, 2.001
315000, 152066, 3305, 1.964
316000, 152174, 3364, 2.07
317000, 152656, 3422, 1.564
318000, 153119, 3451, 1.484
319000, 153977, 3451, 1.475
320000, 153415, 3461, 1.489
321000, 153613, 3497, 1.493
322000, 151884, 3519, 1.626
323000, 151848, 3530, 1.601
324000, 152150, 3535, 1.582
325000, 149903, 3546, 1.628
326000, 150109, 3548, 1.586
327000, 149899, 3561, 1.565
328000, 149880, 3608, 1.616
329000, 149905, 3604, 1.676
330000, 149421, 3629, 1.643
331000, 147753, 3681, 1.748
332000, 149237, 3709, 1.742
333000, 154166, 3743, 1.769
334000, 154156, 3733, 1.728
335000, 154109, 3756, 1.771
336000, 154747, 3796, 1.721
337000, 155559, 3777, 1.672
338000, 157248, 3807, 1.63
339000, 158275, 3813, 1.809
340000, 158833, 3814, 1.705
341000, 159807, 3852, 1.715
342000, 160623, 3849, 1.655
343000, 160923, 3856, 1.618
344000, 161855, 3865, 1.661
345000, 162530, 3865, 1.595
346000, 164104, 3868, 1.599
347000, 163962, 3941, 1.681
348000, 164375, 3912, 1.678
349000, 164705, 3933, 1.682
350000, 165583, 4004, 1.745
351000, 166366, 4052, 1.714
352000, 166970, 4040, 1.743
353000, 168349, 3998, 1.651
354000, 169261, 4010, 1.578
355000, 169361, 4032, 1.629
356000, 170202, 4053, 1.619
357000, 170677, 4013, 1.654
358000, 171231, 4027, 1.692
359000, 172323, 4013, 1.807
360000, 172427, 4037, 1.638
361000, 173288, 4032, 1.654
362000, 172305, 4038, 1.694
363000, 171898, 4028, 1.7
364000, 171817, 4040, 1.583
365000, 172078, 4051, 1.568
366000, 171407, 4053, 1.66
367000, 172258, 4069, 1.584
368000, 172978, 4094, 1.629
369000, 173998, 4119, 1.654
370000, 174889, 4136, 1.643
371000, 175555, 4128, 1.618
372000, 176401, 4156, 1.639
373000, 178166, 4156, 1.681
374000, 178994, 4179, 1.638
375000, 179706, 4194, 1.618
376000, 180757, 4206, 1.629
377000, 181407, 4194, 1.623
378000, 182318, 4205, 1.648
379000, 182955, 4204, 1.636
380000, 184039, 4224, 1.57
381000, 184757, 4229, 1.618
382000, 185542, 4228, 1.61
383000, 186331, 4263, 1.589
384000, 186967, 4256, 1.659
385000, 187118, 4270, 1.639
386000, 187752, 4259, 1.631
387000, 188130, 4291, 1.596
388000, 188641, 4300, 1.718
389000, 189586, 4311, 1.649
390000, 190382, 4327, 1.663
391000, 190824, 4332, 1.634
392000, 191857, 4341, 1.651
393000, 192627, 4346, 1.592
394000, 193426, 4392, 1.668
395000, 194153, 4385, 1.616
396000, 194925, 4384, 1.601
397000, 195635, 4398, 1.648
398000, 196677, 4405, 1.617
399000, 197205, 4415, 1.581
400000, 197861, 4439, 1.571
401000, 198690, 4443, 1.584
402000, 199848, 4444, 1.571
403000, 201085, 4484, 1.558
404000, 202119, 4482, 1.568
405000, 202177, 4479, 1.596
406000, 203632, 4478, 1.588
407000, 203394, 4470, 1.624
408000, 203957, 4475, 1.636
409000, 204626, 4489, 1.617
410000, 205417, 4510, 1.57
411000, 206937, 4517, 1.597
412000, 207647, 4537, 1.592
413000, 208051, 4523, 1.569
414000, 208883, 4526, 1.579
415000, 209237, 4536, 1.586
416000, 209841, 4537, 1.547
417000, 210907, 4541, 1.578
418000, 214063, 4556, 1.564
419000, 215120, 4560, 1.578
420000, 216042, 4553, 1.568
421000, 213266, 4587, 1.603
422000, 213553, 4612, 1.604
423000, 213825, 4604, 1.571
424000, 214552, 4615, 1.563
425000, 215192, 4616, 1.55
426000, 214888, 4631, 1.561
427000, 215642, 4658, 1.573
428000, 216028, 4659, 1.531
429000, 216490, 4670, 1.541
430000, 217219, 4694, 1.584
431000, 216703, 4698, 1.628
432000, 217173, 4737, 1.645
433000, 217483, 4749, 1.582
434000, 217879, 4747, 1.657
435000, 218199, 4759, 1.642
436000, 218528, 4757, 1.617
437000, 216907, 4769, 1.567
438000, 218150, 4767, 1.551
439000, 218449, 4766, 1.555
440000, 218362, 4764, 1.569
441000, 219088, 4782, 1.577
442000, 219686, 4803, 1.605
443000, 220472, 4823, 1.659
444000, 221409, 4866, 1.634
445000, 218595, 4897, 1.671
446000, 218071, 4895, 1.674
447000, 218350, 4911, 1.65
448000, 217723, 4897, 1.686
449000, 217957, 4954, 1.677
450000, 218603, 4941, 1.72
451000, 219599, 4964, 1.681
452000, 220146, 4966, 1.673
453000, 221466, 5085, 1.842
454000, 221857, 5152, 1.907
455000, 222545, 5198, 1.93
456000, 221601, 5245, 1.852
457000, 222886, 5296, 1.909
458000, 223844, 5357, 1.822
459000, 224745, 5391, 1.791
460000, 224586, 5367, 1.826
461000, 224465, 5387, 1.933
462000, 223979, 5441, 1.928
463000, 224837, 5494, 1.826
464000, 225592, 5523, 1.737
465000, 226342, 5534, 1.772
466000, 227363, 5552, 1.718
467000, 228101, 5540, 1.715
468000, 228424, 5517, 1.786
469000, 229529, 5548, 1.753
470000, 229855, 5664, 2.002
471000, 230410, 5737, 1.937
472000, 231131, 5792, 1.93
473000, 232167, 5836, 1.836
474000, 232236, 5850, 1.85
475000, 232944, 5874, 1.798
476000, 233652, 5908, 1.832
477000, 234727, 5939, 1.85
478000, 235386, 5929, 1.933
479000, 236195, 5962, 1.899
480000, 237359, 5999, 1.813
481000, 237230, 6041, 1.824
482000, 237819, 6051, 1.816
483000, 238761, 6073, 1.846
484000, 239258, 6087, 1.76
485000, 239237, 6136, 1.791
486000, 239723, 6154, 1.802
487000, 240263, 6179, 1.789
488000, 240717, 6185, 1.714
489000, 241500, 6191, 1.79
490000, 242654, 6218, 1.789
491000, 241936, 6258, 1.77
492000, 242490, 6299, 1.765
493000, 241763, 6333, 1.779
494000, 242420, 6338, 1.767
495000, 242800, 6381, 1.784
496000, 243494, 6379, 1.723
497000, 244111, 6382, 1.829
498000, 244870, 6410, 1.812
499000, 245289, 6438, 1.796
500000, 245919, 6446, 1.779
501000, 246708, 6473, 1.752
502000, 247546, 6475, 1.725
503000, 247358, 6502, 1.761
504000, 248435, 6528, 1.647
505000, 248274, 6537, 1.7
506000, 248961, 6552, 1.735
507000, 249602, 6586, 1.726
508000, 249695, 6570, 1.69
509000, 250182, 6586, 1.768
510000, 250883, 6620, 1.743
511000, 251561, 6624, 1.75
512000, 251639, 6651, 1.756
513000, 251375, 6530, 1.778
514000, 252230, 6497, 1.759
515000, 252829, 6514, 1.729
516000, 251841, 6470, 1.782
517000, 252119, 6454, 1.738
518000, 252497, 6454, 1.767
519000, 253030, 6478, 1.756
520000, 254400, 6580, 1.821
521000, 254902, 6562, 1.637
522000, 255985, 6572, 1.633
523000, 255930, 6548, 1.698
524000, 256893, 6540, 1.657
525000, 256225, 6459, 1.665
526000, 257198, 6472, 1.662
527000, 257532, 6444, 1.647
528000, 257834, 6468, 1.695
529000, 258485, 6468, 1.647
530000, 258419, 6432, 1.633
531000, 259313, 6449, 1.635
532000, 260253, 6473, 1.58
533000, 261457, 6464, 1.641
534000, 261856, 6499, 1.643
535000, 262284, 6516, 1.745
536000, 262846, 6513, 1.711
537000, 263416, 6537, 1.679
538000, 264113, 6562, 1.675
539000, 265027, 6583, 1.706
540000, 266161, 6645, 1.679
541000, 267287, 6666, 1.69
542000, 265391, 6691, 1.722
543000, 263436, 6728, 1.702
544000, 263776, 6759, 1.664
545000, 264212, 6834, 1.675
546000, 264285, 6992, 2.086
547000, 265121, 7072, 1.81
548000, 265760, 7109, 1.793
549000, 267214, 7193, 1.794
550000, 268353, 7228, 1.807
551000, 269386, 7287, 1.813
552000, 270597, 7352, 1.824
553000, 271432, 7509, 1.873
554000, 271998, 7557, 1.754
555000, 272579, 7612, 1.626
556000, 273368, 7650, 1.604
557000, 273583, 7707, 1.656
558000, 274679, 7707, 1.665
559000, 275996, 7725, 1.713
560000, 276828, 7821, 1.803
561000, 277912, 7900, 1.811
562000, 278786, 7948, 1.73
563000, 279514, 7992, 1.775
564000, 278934, 8002, 1.821
565000, 280157, 8024, 1.791
566000, 278470, 8041, 1.749
567000, 279319, 8083, 1.719
568000, 280534, 8139, 1.717
569000, 280753, 8167, 1.845
570000, 281468, 8171, 1.771
571000, 282396, 8209, 1.759
572000, 283855, 8226, 1.781
573000, 284829, 8267, 1.701
574000, 285114, 8284, 1.637
575000, 285591, 8314, 1.661
576000, 286683, 8336, 1.58
577000, 286948, 8373, 1.57
578000, 286892, 8388, 1.562
579000, 287505, 8432, 1.556
580000, 288590, 8466, 1.57
581000, 289764, 8515, 1.564
582000, 288103, 8554, 1.647
583000, 287862, 8565, 1.647
584000, 288582, 8676, 1.715
585000, 287385, 8736, 1.784
586000, 287912, 8810, 1.845
587000, 289133, 8866, 1.822
588000, 288539, 8888, 1.714
589000, 289326, 8939, 1.696
590000, 289981, 8944, 1.661
591000, 290824, 8952, 1.639
592000, 291967, 8965, 1.661
593000, 292329, 8968, 1.618
594000, 293159, 8975, 1.619
595000, 293609, 8980, 1.653
596000, 290863, 8997, 1.678
597000, 291787, 9027, 1.707
598000, 292441, 9017, 1.741
599000, 293206, 9014, 1.715
600000, 294173, 9034, 1.718
601000, 294992, 9074, 1.699
602000, 296133, 9105, 1.666
603000, 296771, 9157, 1.479
604000, 297595, 9179, 1.549
605000, 298179, 9209, 1.707
606000, 298730, 9237, 1.736
607000, 297969, 9300, 1.744
608000, 298334, 9320, 1.718
609000, 299264, 9340, 1.71
610000, 296873, 9373, 1.694
611000, 296496, 9414, 1.7
612000, 292988, 9415, 1.674
613000, 293970, 9442, 1.613
614000, 294680, 9456, 1.698
615000, 295522, 9476, 1.71
616000, 296048, 9517, 1.667
617000, 295958, 9521, 1.67
618000, 294422, 9542, 1.651
619000, 293338, 9547, 1.612
620000, 286447, 9593, 1.725
621000, 282091, 9594, 1.646
622000, 276999, 9582, 1.63
623000, 275205, 9594, 1.642
624000, 272832, 9619, 1.686
625000, 271614, 9648, 1.635
626000, 271189, 9621, 1.671
627000, 269938, 9627, 1.577
628000, 268032, 9639, 1.645
629000, 267714, 9669, 1.668
630000, 261138, 9705, 1.694
631000, 258026, 9720, 1.661
632000, 256409, 9726, 1.606
633000, 250749, 9732, 1.64
634000, 247977, 9727, 1.675
635000, 248233, 9740, 1.559
636000, 248304, 9737, 1.565
637000, 247043, 9749, 1.53
638000, 247566, 9739, 1.571
639000, 247816, 9740, 1.579
640000, 247748, 9769, 1.567
641000, 247887, 9777, 1.57
642000, 247961, 9803, 1.565
643000, 248011, 9795, 1.588
644000, 248326, 9812, 1.638
645000, 248473, 9820, 1.618
646000, 248178, 9829, 1.598
